Name,DataType,Unit,StateID,Persistence
Aerofly_Out_Aircraft_TrueAltitude,Double,m,513685691,False
Aerofly_Out_Aircraft_TrueHeading,Double,rad,1553784294,False
Aerofly_Out_Aircraft_TrueHeading_V2,Double,rad,2313474521,False
Aerofly_Out_Aircraft_Universialtime,Double,s,1095517217,False
Aerofly_Out_Aircraft_Velocity,Double3,m/s,1796138214,False
Aerofly_Out_Aircraft_VerticalSpeed,Double,m/s,4247030081,False
Aerofly_Out_Aircraft_Vortex,Double,0-1,3066527403,False
Aerofly_Out_Crash_ExcessiveLandingRate,Boolean,,3606674210,False
Aerofly_Out_Crash_ExcessiveLoadFactor,Boolean,,2176349777,False
Aerofly_Out_Crash_FirstLimitExceeded,Boolean,,1440247258,False
Aerofly_Out_Crash_HighAirspeed,Boolean,,3845500168,False
Aerofly_Out_Crash_HighRotorSpeed,Boolean,,2936800735,False
Aerofly_Out_Crash_LowRotorSpeed,Boolean,,4028988999,False
Aerofly_Out_Crash_SlingLoadExcessiveGroundSpeed,Boolean,,1088936463,False
Aerofly_Out_Crash_SlingLoadExcessiveLandingRate,Boolean,,289709335,False
Aerofly_Out_Crash_UpsetPitchAttitudeAirborne,Boolean,,2009533588,False
Aerofly_Out_Crash_UpsetPitchAttitudeGround,Boolean,,1949388887,False
Aerofly_Out_Crash_UpsetRollAttitudeAirborne,Boolean,,855358880,False
Aerofly_Out_Crash_UpsetRollAttitudeGround,Boolean,,4202393567,False
Aerofly_Out_Electrical_NAVCOM1On,Boolean,,168104260,False
Aerofly_Out_Electrical_NAVCOM2On,Boolean,,138653469,False
Aerofly_Out_Instrument_CarburetorTemperature,Double,°,1059500221,False
Aerofly_Out_Instrument_EngineNG,Double,,589660324,False
Aerofly_Out_Instrument_EngineNP,Double,0-1,2700477795,False
Aerofly_Out_Instrument_EngineNR,Double,fraction,1324901455,False
Aerofly_Out_Instrument_EngineRotationSpeed,Double,rad/s,382300902,False
Aerofly_Out_Instrument_EngineTorqueFraction,Double,0-1,2876656444,False
Aerofly_Out_Instrument_EngineTOT,Double,,3069482175,False
Aerofly_Out_Instrument_FirstLimitIndicator,Double,,3708367844,False
Aerofly_Out_Instrument_FuelFlow,Double,kg/s,2370500633,False
Aerofly_Out_Instrument_GeneratorContactorCurrent,Double,A,3599019297,False
Aerofly_Out_Instrument_HSI_HdgBug,Double,rad,2535508029,False
Aerofly_Out_Instrument_HSI_OBS,Double,rad,3535805871,False
Aerofly_Out_Instrument_IndicatedAirspeed,Double,m/s,614270119,False
Aerofly_Out_Instrument_PressureAltitude,Double,m,637219977,False
Aerofly_Out_Instrument_RadarAltimeter,Double,m,2979223644,False
Aerofly_Out_PressureSettingPilot,Double,Pa,3297162888,False
Aerofly_Out_Simulation_Fps,Double,fps,3590140009,False
Aerofly_Out_Simulation_NavigationCycle,Double,,482521778,False
Aerofly_Out_Simulation_Pause,Boolean,,3917330120,False
Aerofly_Out_Simulation_SelectedTriangles,Double,no-value,1450782446,False
Aerofly_Out_Simulation_Time,Double,s,3871827618,False
Aerofly_Running,Boolean,,2457184866,False
Avionics_ESI500_ShowCompass,Boolean,,1871549143,False
Avionics_G500_Available,Boolean,,1049107195,False
Avionics_GTN650_Available,Boolean,,3484011481,False
Avionics_GTN650_Out_ComVolume,Double,%,584668097,False
